VALUE,Longitude,Latitude
1.00000000,77.0706613,28.8765835
1.00000000,77.0703520,28.8764980
1.00000000,77.0704545,28.8764965
1.00000000,77.0705570,28.8764949
1.00000000,77.0706595,28.8764933
1.00000000,77.0615155,28.8754605
1.00000000,77.0613088,28.8753735
1.00000000,77.0614113,28.8753719
1.00000000,77.0615137,28.8753703
1.00000000,77.0616162,28.8753688
1.00000000,77.0609996,28.8752880
1.00000000,77.0612045,28.8752848
1.00000000,77.0613070,28.8752833
1.00000000,77.0614095,28.8752817
1.00000000,77.0615120,28.8752801
1.00000000,77.0616144,28.8752786
1.00000000,77.0617169,28.8752770
1.00000000,77.0607928,28.8752009
1.00000000,77.0608953,28.8751993
1.00000000,77.0609978,28.8751978
1.00000000,77.0611003,28.8751962
1.00000000,77.0612027,28.8751946
1.00000000,77.0613052,28.8751931
1.00000000,77.0614077,28.8751915
1.00000000,77.0615102,28.8751899
1.00000000,77.0616127,28.8751884
1.00000000,77.0617151,28.8751868
1.00000000,77.0605861,28.8751138
1.00000000,77.0606886,28.8751123
1.00000000,77.0607910,28.8751107
1.00000000,77.0608935,28.8751091
1.00000000,77.0609960,28.8751076
1.00000000,77.0612010,28.8751044
1.00000000,77.0613034,28.8751029
1.00000000,77.0614059,28.8751013
1.00000000,77.0615084,28.8750997
1.00000000,77.0616109,28.8750982
1.00000000,77.0617134,28.8750966
1.00000000,77.0604818,28.8750252
1.00000000,77.0605843,28.8750236
1.00000000,77.0606868,28.8750221
1.00000000,77.0607893,28.8750205
1.00000000,77.0608917,28.8750189
1.00000000,77.0613017,28.8750127
1.00000000,77.0614041,28.8750111
1.00000000,77.0615066,28.8750095
1.00000000,77.0616091,28.8750080
1.00000000,77.0617116,28.8750064
1.00000000,77.0605825,28.8749334
1.00000000,77.0606850,28.8749319
1.00000000,77.0607875,28.8749303
1.00000000,77.0608900,28.8749287
1.00000000,77.0612999,28.8749225
1.00000000,77.0614024,28.8749209
1.00000000,77.0615048,28.8749193
1.00000000,77.0616073,28.8749178
1.00000000,77.0605807,28.8748432
1.00000000,77.0606832,28.8748417
1.00000000,77.0607857,28.8748401
1.00000000,77.0608882,28.8748385
1.00000000,77.0609907,28.8748370
1.00000000,77.0612981,28.8748323
1.00000000,77.0614006,28.8748307
1.00000000,77.0599641,28.8747624
1.00000000,77.0600666,28.8747609
1.00000000,77.0601690,28.8747593
1.00000000,77.0602715,28.8747577
1.00000000,77.0604765,28.8747546
1.00000000,77.0605790,28.8747530
1.00000000,77.0606814,28.8747515
1.00000000,77.0607839,28.8747499
1.00000000,77.0608864,28.8747483
1.00000000,77.0609889,28.8747468
1.00000000,77.0610914,28.8747452
1.00000000,77.0611938,28.8747436
1.00000000,77.0612963,28.8747421
1.00000000,77.0613988,28.8747405
1.00000000,77.0615013,28.8747389
1.00000000,77.0616038,28.8747374
1.00000000,77.0598598,28.8746738
1.00000000,77.0599623,28.8746722
1.00000000,77.0600648,28.8746707
1.00000000,77.0601673,28.8746691
1.00000000,77.0602697,28.8746675
1.00000000,77.0604747,28.8746644
1.00000000,77.0605772,28.8746628
1.00000000,77.0606797,28.8746613
1.00000000,77.0607821,28.8746597
1.00000000,77.0608846,28.8746581
1.00000000,77.0609871,28.8746566
1.00000000,77.0610896,28.8746550
1.00000000,77.0611921,28.8746534
1.00000000,77.0612945,28.8746519
1.00000000,77.0613970,28.8746503
1.00000000,77.0614995,28.8746487
1.00000000,77.0616020,28.8746472
1.00000000,77.0599605,28.8745820
1.00000000,77.0600630,28.8745805
1.00000000,77.0601655,28.8745789
1.00000000,77.0602680,28.8745773
1.00000000,77.0604729,28.8745742
1.00000000,77.0605754,28.8745726
1.00000000,77.0606779,28.8745711
1.00000000,77.0607804,28.8745695
1.00000000,77.0608828,28.8745679
1.00000000,77.0609853,28.8745664
1.00000000,77.0610878,28.8745648
1.00000000,77.0611903,28.8745632
1.00000000,77.0612928,28.8745617
1.00000000,77.0613952,28.8745601
1.00000000,77.0614977,28.8745585
1.00000000,77.0616002,28.8745570
1.00000000,77.0600612,28.8744903
1.00000000,77.0601637,28.8744887
1.00000000,77.0602662,28.8744871
1.00000000,77.0604711,28.8744840
1.00000000,77.0605736,28.8744824
1.00000000,77.0606761,28.8744809
1.00000000,77.0607786,28.8744793
1.00000000,77.0608811,28.8744777
1.00000000,77.0609835,28.8744762
1.00000000,77.0610860,28.8744746
1.00000000,77.0611885,28.8744730
1.00000000,77.0612910,28.8744715
